                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.77992,                0.94214,                 1.0562,                 0.9856,                0.99798,                  0.995,                0.84137,                0.58949,                0.50464,                0.93278,              0.0073765,              0.0073765,              0.0073765
                    108,                0.76781,                0.97553,                 1.0282,                0.97668,                0.98824,                  0.995,                0.85987,                0.58422,                0.51664,                0.91974,              0.0073517,              0.0073517,              0.0073517
                    109,                0.73153,                0.91431,                 1.0259,                0.97362,                0.97229,                0.99389,                0.85408,                0.59434,                0.54131,                0.92612,               0.007327,               0.007327,               0.007327
                    110,                0.75746,                0.93555,                 1.0302,                0.95566,                0.95494,                0.99397,                0.85558,                0.57985,                0.53991,                0.91638,              0.0073023,              0.0073023,              0.0073023
                    111,                0.82768,                0.99982,                 1.0645,                0.96072,                0.99195,                0.99374,                0.85755,                0.59029,                0.52074,                0.92258,              0.0072775,              0.0072775,              0.0072775
                    112,                0.76779,                 1.0079,                 1.0525,                 0.9742,                0.97699,                  0.995,                0.86454,                0.59141,                0.51252,                0.92336,              0.0072527,              0.0072527,              0.0072527
                    113,                0.72544,                0.89238,                  1.017,                0.97597,                0.99598,                  0.995,                0.86732,                0.56332,                0.48574,                 0.9151,               0.007228,               0.007228,               0.007228
                    114,                0.76131,                0.97508,                 1.0411,                0.95243,                0.97582,                0.99395,                 0.8493,                0.57127,                 0.5344,                0.91721,              0.0072033,              0.0072033,              0.0072033
                    115,                0.75062,                0.94934,                  1.042,                0.95349,                0.96429,                 0.9887,                 0.8306,                0.65105,                0.58546,                0.95222,              0.0071785,              0.0071785,              0.0071785
                    116,                0.75273,                0.92073,                 1.0019,                0.98838,                0.97225,                0.99454,                0.87008,                0.54538,                0.53411,                 0.9007,              0.0071538,              0.0071538,              0.0071538
                    117,                0.77009,                0.93203,                 1.0077,                0.97969,                0.95512,                 0.9935,                0.85118,                0.59961,                0.58277,                0.92545,               0.007129,               0.007129,               0.007129
                    118,                 0.7254,                0.90433,                0.99782,                0.98911,                0.99171,                0.99484,                0.86857,                0.54574,                0.49905,                0.90928,              0.0071042,              0.0071042,              0.0071042
                    119,                0.71315,                0.85673,                0.97835,                0.97442,                0.88859,                0.99135,                 0.8271,                0.69438,                0.62273,                0.97028,              0.0070795,              0.0070795,              0.0070795
                    120,                0.79138,                0.91032,                 1.0133,                0.95657,                0.89563,                0.98072,                 0.7922,                 0.7033,                0.64319,                 1.0028,              0.0070547,              0.0070547,              0.0070547
                    121,                0.69893,                0.89119,                 1.0013,                0.95707,                0.95365,                0.99116,                0.82413,                0.68874,                0.53503,                0.97836,                0.00703,                0.00703,                0.00703
                    122,                0.71776,                0.91949,                0.99937,                 0.9762,                0.99589,                0.99359,                0.84514,                0.62892,                0.53241,                0.94849,              0.0070053,              0.0070053,              0.0070053
                    123,                0.77229,                0.87893,                 1.0679,                0.98878,                  0.984,                0.99377,                0.85417,                0.63118,                0.48277,                0.91933,              0.0069805,              0.0069805,              0.0069805
                    124,                0.71603,                0.93018,                 1.0096,                 0.9818,                0.98782,                0.99429,                0.87622,                0.52445,                 0.4514,                0.89042,              0.0069558,              0.0069558,              0.0069558
                    125,                0.68719,                0.84606,                0.99734,                 0.9672,                0.98592,                0.99221,                0.85365,                0.57743,                0.48415,                0.91506,               0.006931,               0.006931,               0.006931
                    126,                0.74106,                0.91436,                 1.0186,                 0.9607,                0.96976,                 0.9753,                0.84282,                0.58359,                0.51832,                0.92717,              0.0069063,              0.0069063,              0.0069063
                    127,                 0.7407,                 0.9386,                 1.0061,                  0.985,                0.95968,                0.98739,                0.85613,                0.57063,                0.47809,                0.91973,              0.0068815,              0.0068815,              0.0068815
                    128,                0.76208,                0.89576,                0.99044,                0.97525,                0.96878,                0.98907,                0.85732,                0.55922,                0.47698,                0.90151,              0.0068568,              0.0068568,              0.0068568
                    129,                0.66338,                0.80857,                0.98962,                0.96113,                0.98108,                0.98721,                0.85287,                 0.5568,                0.52295,                0.91439,               0.006832,               0.006832,               0.006832
                    130,                0.75708,                0.91227,                 1.0323,                 0.9327,                0.89399,                 0.9743,                0.83129,                0.59739,                0.69264,                0.92236,              0.0068073,              0.0068073,              0.0068073
                    131,                0.71326,                0.85672,                 1.0154,                0.91151,                0.89763,                0.95716,                0.81473,                0.62526,                0.70483,                0.93848,              0.0067825,              0.0067825,              0.0067825
                    132,                0.75046,                0.86047,                 1.0056,                0.93262,                0.93908,                0.97007,                0.84698,                0.57492,                0.57516,                0.91131,              0.0067577,              0.0067577,              0.0067577
                    133,                0.66185,                0.82544,                0.99618,                0.93122,                0.92831,                0.97107,                0.83467,                0.57221,                0.52574,                0.90867,               0.006733,               0.006733,               0.006733
                    134,                 0.6924,                0.83964,                  1.002,                0.93384,                0.93884,                0.98012,                0.84521,                0.56291,                0.53569,                0.89759,              0.0067082,              0.0067082,              0.0067082
                    135,                 0.7005,                0.82869,                0.98878,                0.95333,                0.95842,                0.98823,                0.84707,                0.61002,                0.53384,                0.92477,              0.0066835,              0.0066835,              0.0066835
                    136,                0.68151,                0.83267,                0.98602,                0.96024,                0.95674,                0.99263,                0.84104,                0.64539,                0.52281,                0.94367,              0.0066587,              0.0066587,              0.0066587
                    137,                0.71883,                0.85227,                  1.027,                 0.9679,                0.92706,                0.98951,                0.83822,                0.64496,                0.55184,                0.93505,               0.006634,               0.006634,               0.006634
                    138,                0.63454,                0.92299,                0.96013,                0.95083,                0.96564,                0.98913,                0.85422,                0.56641,                0.53327,                0.90244,              0.0066092,              0.0066092,              0.0066092
                    139,                 0.6507,                0.72861,                0.94673,                0.96963,                0.97484,                0.99075,                0.86796,                0.55173,                0.46098,                 0.8975,              0.0065845,              0.0065845,              0.0065845
                    140,                  0.715,                0.84882,                 1.0106,                0.97244,                0.96796,                0.99209,                0.86129,                 0.5779,                0.47967,                0.90163,              0.0065598,              0.0065598,              0.0065598
                    141,                0.69857,                0.82802,                 1.0152,                0.99117,                0.98752,                0.99471,                0.88466,                 0.5185,                0.44833,                0.87538,               0.006535,               0.006535,               0.006535
                    142,                0.70634,                0.81084,                0.98166,                0.99125,                0.99408,                  0.995,                0.88805,                0.51044,                 0.4358,                 0.8723,              0.0065102,              0.0065102,              0.0065102
                    143,                0.72477,                0.81678,                 1.0106,                 0.9945,                0.97547,                 0.9942,                0.86571,                0.53847,                0.43528,                 0.8917,              0.0064855,              0.0064855,              0.0064855
                    144,                0.69732,                0.78044,                0.98361,                0.98767,                0.97748,                0.99383,                 0.8791,                0.56666,                0.43477,                0.89515,              0.0064608,              0.0064608,              0.0064608
                    145,                0.69967,                0.80547,                 1.0076,                0.98101,                0.98937,                0.99471,                0.88609,                0.51815,                0.42093,                  0.882,               0.006436,               0.006436,               0.006436
                    146,                 0.6496,                0.74804,                0.96588,                0.99276,                0.98548,                0.99471,                0.88875,                0.51636,                0.42951,                0.87758,              0.0064112,              0.0064112,              0.0064112
                    147,                0.67289,                 0.9135,                 1.0266,                0.98827,                0.98437,                0.99426,                0.88605,                0.53261,                0.43317,                0.87467,              0.0063865,              0.0063865,              0.0063865
                    148,                0.64909,                0.81965,                0.97791,                0.98507,                0.98102,                0.99471,                0.88346,                0.54655,                0.42183,                0.88066,              0.0063618,              0.0063618,              0.0063618
                    149,                0.64127,                 0.7329,                0.96529,                0.99152,                0.99393,                  0.995,                0.89182,                0.52152,                0.41384,                0.87177,               0.006337,               0.006337,               0.006337
                    150,                0.75462,                0.93073,                  1.028,                 0.9854,                0.99632,                  0.995,                0.89931,                 0.4859,                0.42096,                 0.8603,              0.0063122,              0.0063122,              0.0063122
                    151,                0.66079,                0.79923,                0.97513,                0.99504,                0.99194,                  0.995,                0.90286,                0.45546,                0.40406,                0.85319,              0.0062875,              0.0062875,              0.0062875
